Pregunta,Respuesta,Tema
¿Cómo hago para reincorporarme a mi carrera en la UNS? ¿Qué es una reincorporación? ¿Y qué implica?,"Si fuiste dado de baja por inactividad o por falta de documentación en el proceso de ingreso a la UNS podés tramitar la reincorporación a tu carrera, obteniendo nuevamente la condición de alumno regular en la misma. La reincorporación es un trámite que se realiza a través de la página web de la Dirección de Gestión Administrativa Curricular (DGAC) durante los períodos establecidos en el Calendario Académico de la UNS. Para realizar el trámite es necesario digitalizar el DNI de ambas caras y completar un formulario.Es muy importante recordar que toda REINCORPORACIÓN se realizará al último plan vigente de la carrera, y que si tenés materias aprobadas con más de 10 años de antigüedad deberás realizar el trámite de REVÁLIDA de las mismas.",Baja de Carrera/Reincorporación
¿En qué consiste el Examen Integral de Inglés (5er año - ISI)?,"El Examen Integral de Inglés es un requisito de la Ing. en Sistemas de Información, el cual debe ser aprobado antes de comenzar a cursar las materias de 5to año. En el mismo, se evalúan conocimientos de vocabulario, gramática y comunicación oral. Los contenidos evaluados son definidos por el Programa de Idioma Inglés de la UNS, podes ver más información mediante el siguiente link.https://uns.edu.ar/contenidos/410/912#examenes-de-suficiencia",Suficiencias de Idiomas
¿Cómo me puedo anotar en el Examen Integral de Inglés (5er año - ISI)?,Te podes anotar a través del sistema Guarani3W >> Exámenes. Busca una mesa titulada “Examen Integral de Inglés para Ing. de Software” (cod 7659).,Suficiencias de Idiomas
¿Cómo me puedo preparar para el Examen Integral de Inglés (5er año - ISI)?,"El examen evalúa contenidos del nivel B1 de inglés. Podes buscar tests online para ver qué tan preparado estás!Si consideras que no estás en condiciones de rendir, te recomendamos que te inscribas a los cursos ILE dictados por la UNS. Para esto primero tenes que presentarte al examen diagnóstico para saber qué nivel de ILE te corresponde cursar.Cuando alcances y apruebes el nivel ILE IIB podrás pedir una equivalencia con el examen integral de inglés.",Suficiencias de Idiomas
¿La nota del el Examen Integral de Inglés (5er año - ISI) afecta mi promedio? ¿Cuántas veces lo puedo rendir?,"El resultado del examen es Aprobado/Desaprobado y no afecta tu promedio. Además, podes rendir el examen todas las veces que sean necesarias y una vez aprobado no tiene vencimiento.",Suficiencias de Idiomas
¿Puedo presentar alguna equivalencia para tener aprobado el examen?,"Si! El Departamento de Humanidades de la UNS estableció una equivalencia entre el First Certificate in English (FCE) y los exámenes de Inglés requeridos por las carreras del DCIC. Adicionalmente, si aprobas el nivel IIB del curso Inglés como Lengua Extranjera dictado por la UNS, podes pedir la aprobación del Examen Integral de Inglés.",Suficiencias de Idiomas
¿Qué es una materia optativa?,"Las optativas son materias en el plan de estudios de algunas carreras de la UNS, las cuales quedan a elección del estudiante entre una nómina de optativas aprobadas por el Departamento Académico que administra dicha carrera.",Optativas
¿Dónde puedo ver las materias optativas disponibles?,"Al inicio de cada cuatrimestre, el Consejo Departamental de cada Departamento Académico aprueba la nómina de materias optativas que se ofrecerán en tal cuatrimestre. En el caso de las optativas ofrecidas por el DCIC, dicha nómina junto con los requisitos de correlatividad exigidos por cada materia se publican en el sitio web y redes sociales del DCIC.",Optativas
¿Cómo me inscribo a una materia optativa?,"Para inscribirte en una materia optativa deberás:
Descargar la planilla correspondiente por el sistema SIU Guaraní, completarla y enviarla por mail a la Administración del Departamento Académico (en el caso del DCIC es administracion@cs.uns.edu.ar) junto con tu nombre completo, carrera y LU, y con asunto ""Inscripción a materia optativa"". Si bien la planilla tiene lugar para dos materias, basta con que completes uno de los lugares con la materia a la que deseás inscribirte.
Una vez procesada tu solicitud en la Administración del Departamento, se te habilitará la materia en el sistema SIU Guaraní para que puedas inscribirte a ella. Deberás entonces acceder nuevamente al sistema SIU Guaraní, y anotarte a dicha materia como lo realizás normalmente para cualquier otra materia de tu plan de estudios. Te recomendamos que chequees con frecuencia el sistema SIU Guaraní (dos o tres días después de enviar la solicitud), para completar efectivamente este último paso de la inscripción.
Tené en cuenta que la inscripción a materias optativas se encuentra habilitada hasta la fecha en la que finaliza la inscripción a materias del cuatrimestre en curso, tal y como se establece en el Calendario Académico de la UNS. No obstante esto, en cuanto elijas alguna materia optativa, te recomendamos ponerte en contacto con los docentes a cargo del dictado de dicha materia para interiorizarte acerca de su fecha de inicio de actividades.",Optativas
¿Qué detalles debo tener en cuenta?,"Las materias optativas tienen sus propios requisitos de correlatividad, los cuales deben ser cumplidos para poder cursar la materia. Además, se deben cumplir los prerrequisitos establecidos en el plan de estudios de la carrera para poder cursar optativas (tener suficiencias de idioma aprobadas, tener determinada cantidad de materias aprobadas, haber aprobado todas las materias hasta determinado año de la carrera, etc.). Por último, no todas las carreras tienen materias optativas en su plan de estudios: en el caso del DCIC, la Licenciatura en Ciencias de la Computación y la Ingeniería en Computación tienen materias optativas en sus planes, no así la Ingeniería en Sistemas de Información.",Optativas
¿Qué es una materia extracurricular?,"Las extracurriculares son materias que no pertenecen al plan de estudios de la carrera a la que el estudiante se encuentra inscripto. Si bien todas las materias en la UNS pueden cursarse como oyente, la solicitud de inscripción a una materia como extracurricular permite que dicha materia y su calificación consten en el anaĺítico e historia académica del estudiante, si bien no impactarán de forma alguna en su promedio.",Extracurriculares
¿Cómo me inscribo a una materia extracurricular?,"Para solicitar el cursado en forma extracurricular de materias, sean estas materias optativas o materias curriculares de otras carreras, deberás seguir los siguientes pasos:
1) Ingresar a tu perfil en el sistema SIU Guaraní.
2) Seleccionar la carrera ""Extracurricular"" en la esquina superior derecha.
3)En el apartado ""Matrícula"" del menú, seleccionar la opción ""Pedido de Materias Extracurriculares"".
4) Activar la opción ""Ver todas las materias"" y buscar la materia en la que desees inscribirte en forma extracurricular.
5) En este punto el sistema te mostrará una pantalla en la que se indica la materia elegida y el Departamento a cargo de su dictado. Allí deberás hacer click en ""Formulario de Solicitud de Materia Extracurricular"" para descargar el formulario generado por el sistema.
6) Deberás enviar por e-mail dicho formulario al Departamento correspondiente, quien lo remitirá a la Dirección General de Gestión Académica de la UNS, para que luego se te habilite la inscripción por el sistema Guaraní a la materia solicitada. Hay que tener en cuenta que esto puede demorar algunos días desde el envío del formulario de solicitud.
7) Por último, deberás inscribirte en la materia correspondiente a través del sistema Guaraní, como lo realizás normalmente para cualquier otra materia de tu plan de estudios. Es recomendable chequear regularmente si ya aparece habilitada la posibilidad de inscripción a través del sistema Guaraní. Cabe recordar que la inscripción a materias extracurriculares debe hacerse en el período habilitado para inscripción a materias del cuatrimestre en curso; llegado el caso que esté por finalizar el período de inscripción a materias y la materia extracurricular aún no se encuentre habilitada en SIU Guaraní, el alumno deberá comunicarse con el Departamento Académico que administra su carrera para solucionarlo.",Extracurriculares
¿Qué vigencia tiene el cursado de las materias?,"Los cursados aprobados de las materias de las carreras del DCIC tienen un período de vigencia de 3 cuatrimestres. El vencimiento de un cursado operará el día en el que finalice el período de exámenes válidos para el control de correlatividades del cuatrimestre correspondiente 2 años después, de acuerdo a lo establecido por el Calendario Académico.

La vigencia del cursado de todas las materias de tu carrera está pautada por el Departamento Académico que administra tal carrera, y no por los Departamentos que dictan las materias.

Por ejemplo: Si cursaste Elementos de Álgebra y de Geometría en el primer cuatrimestre de 2023, el cursado se mantendrá vigente durante el segundo cuatrimestre de 2023 y durante todo 2024. El vencimiento del cursado de la materia operará el día en que finalice el período de exámenes válidos para el control de correlatividades del primer cuatrimestre de 2025. Cuando opera el vencimiento de una materia, no podrás rendir el examen final regular de dicha materia. Es decir, tenés que volver a cursarla o rendir su examen final en condición libre.",Vigencia de cursados
¿El vencimiento de una materia provoca el vencimiento de las materias que la tienen como correlativa? (vencimientos en cascada),"El vencimiento de una materia en sí mismo no afecta a las materias que ya tenes cursadas, aún si las mismas tienen como correlativa a la materia vencida.
Estas materias no se ""pierden"", ni se ""caen"" ni se ""vencen en cascada"".
Ojo! tené en cuenta que no podrás rendir el examen final de estas materias hasta que hayas aprobado el examen final de la materia vencida.",Vigencia de cursados
¿Qué es una materia correlativa?,"En el plan de estudios de tu carrera verás que las materias están ordenadas por año y por cuatrimestre. Asimismo, en distintas columnas se indica qué materias tenés que tener cursadas o aprobadas (con examen final) para poder cursar o rendir el examen final de otras. Dichas materias cuyo cursado o aprobación son un prerrequisito para cursar o rendir otra materia se denominan materias correlativas. Por ejemplo: para poder cursar Análisis Matemático II, en el plan de estudios de la Ingeniería en Computación (2013) se requiere tener cursada previamente Análisis Matemático I. Por lo tanto, AM I es correlativa de AM II.",Control de correlativas
¿Qué significa que una materia sea correlativa de otra?,"Si una materia A es correlativa de otra materia B, significa que debés tener A cursada (sin final aprobado) o aprobada (con final aprobado) para poder cursar o rendir la materia B.",Control de correlativas
¿Hay distintos tipos de correlatividad?,"Supongamos que tenemos dos materias: la materia correlativa A (la que es prerrequisito) y la materia dependiente B (que depende de la correlativa). Las correlatividades en el plan de estudios se deben analizar con respecto a ambas materias. Si miramos las correlatividades con respecto a la materia correlativa (A), la correlatividad puede ser fuerte o débil. Si A es correlativa fuerte de B, esto significa que para poder cursar o rendir el examen final de B necesitamos tener aprobada A (con su final aprobado). Por otro lado, si A es correlativa débil de B, esto significa que alcanza con tener A cursada (sin final aprobado) para poder cursar o rendir el examen final de B.
Al analizar las correlatividades con respecto a la materia dependiente (B), la correlatividad puede ser para cursado o para final. Si A es correlativa para cursado de B, esto significa que A es un prerrequisito que debe ser cumplido para poder cursar B. Si, en cambio, A es correlativa para final de B, esto significa que es necesario cumplir con el prerrequisito A para poder rendir el examen final de B.
Veamos un ejemplo: en el plan de estudios de la Ingeniería en Computación (2013), la materia Estructuras de datos (dependiente - B) tiene varias materias correlativas (prerrequisitos - A):
Análisis Matemático I - correlativa débil para cursado, correlativa débil para final
Introducción a la Programación Orientada a Objetos - correlativa débil para cursado, correlativa fuerte para final
Resolución de Problemas y Algoritmos - correlativa fuerte para cursado, correlativa fuerte para final",Control de correlativas
¿Qué es el control de correlativas? ¿Cómo funciona? ¿Cuándo es?,"Durante cada cuatrimestre hay un período de exámenes válidos para el control de correlativas. Dicho período finaliza en una fecha estipulada en el calendario académico de la UNS, y el día de su finalización se realiza por sistema un (primer) control de correlativas. Durante el control de correlativas, se analiza para cada estudiante de la UNS qué materias tiene cursadas (sin final aprobado) y aprobadas (con final aprobado) y, en función de ello, si está en condiciones o no de cursar las materias a las que se haya inscripto para cursar durante dicho cuatrimestre; es decir, el control de correlativas sirve para efectuar un chequeo de correlatividades para cursado. Por lo general, el control de correlativas se realiza aproximadamente un mes luego del cierre de inscripciones a materias. Transcurrido el control de correlativas, la inscripción a una materia cambia de estado PENDIENTE a ACEPTADA (si el estudiante pasa el control de correlativas para dicha materia), o queda en estado PENDIENTE o RECHAZADA (si el estudiante NO pasa el control de correlativas para dicha materia). Para más información al respecto consultar este apartado.
A la hora de cursar materias durante un cuatrimestre específico, es importante asegurarse de cumplir con todos los requisitos de correlatividad de dichas materias antes de la fecha de finalización del período para rendir exámenes válidos para el control de correlativas correspondiente a tal cuatrimestre (comúnmente denominada fecha del control de correlativas).",Control de correlativas
¿Y si no cumplo con los requisitos del control de correlativas?,La inscripción a una materia puede quedar en estado PENDIENTE o RECHAZADA si el estudiante NO pasa el control de correlativas para el cursado de dicha materia,Control de correlativas
¿Qué pasa si aprobé un final antes del control de correlativas pero a esa fecha no tengo cargada la nota en el sistema?,"Al momento de efectuarse los controles de correlativas para el cursado de materias en un determinado cuatrimestre, se consideran las fechas de las mesas de examen final de las materias. Por lo tanto, si un alumno rindió y aprobó el examen final de una materia A con anterioridad a la fecha de finalización del período de exámenes válidos para el control de correlativas, dicha aprobación será tenida en cuenta al momento de realizarse el control. No obstante esto, si el cierre del acta correspondiente a la mesa de examen de la materia A se realiza con cercanía a la fecha del primer control de correlativas o incluso con posterioridad a la misma, es posible que la inscripción al cursado de toda materia B que tenga a A como correlativa fuerte de cursado siga quedando en estado PENDIENTE. Al momento de realizarse el siguiente control de correlativas, en caso de cumplir todos los requisitos de correlatividad restantes, la inscripción a la materia B pasará al estado ACEPTADA.",Control de correlativas
¿Qué es un pedido de excepción?,"Un pedido de excepción es una solicitud que se realiza al Departamento Académico o a alguna otra dependencia de la UNS para poder realizar alguna actividad académica sin cumplir con los requisitos impuestos por los reglamentos vigentes en la UNS para tal actividad.
Por ejemplo, si un estudiante desea inscribirse al cursado de una materia fuera del plazo estipulado por el Calendario Académico, debe solicitar una excepción para hacerlo. Por tratarse de solicitudes y no de trámites, los pedidos de excepción pueden o no ser otorgados.",Solicitudes de excepción
Todos los estudiantes tienen el derecho a peticionar a las autoridades según sus propios intereses.,"Antes de solicitar una excepción a las reglas vigentes, recomendamos analizar antes: ¿estoy en una situación especial que justifica mi pedido?
¿estoy explicando bien mi situación y la necesidad de la excepción?
¿he analizado todas las posibilidades o alternativas a partir de mi situación?",Solicitudes de excepción
¿Qué cosas son solicitudes de excepción?,"Algunos ejemplos de pedidos de excepción son: inscripción fuera de término a materias, prórrogas de vencimiento de materias, equivalencias,
cursar o rendir el final de una materia sin cumplir con los requisitos impuestos en el plan de estudios, cursar una materia habiendo cumplido con los requisitos impuestos por el plan de estudios con posterioridad a la fecha límite para rendir exámenes válidos para el control de correlatividades de cada cuatrimestre.",Solicitudes de excepción
¿Cómo se solicita?,"Generalmente se redacta una nota dirigida al Consejo Departamental del Departamento Académico que administra tu carrera, a la que deberás adjuntar cualquier otra documentación relevante para el tratamiento de la solicitud y tu historia académica resumida que podésobtener por sistema Guaraní. En el siguiente enlace podés encontrar planitllas predefinidas para las solicitudes de excepción más comunes que podés solicitar ante el Consejo Departamental del DCIC: https://cs.uns.edu.ar/~devcs/downloads/EsquemaDeSolicitudes.doc IMPORTANTE: si tu solicitud de excepción involucra a materias de tu carrera que no son dictadas por tu Departamento Académico de cabecera (por ejemplo, si deseás solicitar una prórroga en el vencimiento de la materia Análisis Matemático II y sos alumno de una carrera del DCIC) igualmente deberás realizar la solicitud ante el Consejo Departamental del Departamento que administra tu carrera (en el caso del ejemplo, presentar la solicitud en el DCIC).El Consejo Departamental luego sesiona y evalúa la solicitud, y puede resolver otorgar o no otorgar lo solicitado en función de los argumentos presentados en la nota y de si la situación amerita un tratamiento excepcional.",Solicitudes de excepción
¿Qué son las excepciones generales?,"Además de las solicitudes de excepción particulares que cualquier estudiante puede presentar, hay algunas excepciones generales que están vigentes para todos los estudiantes de las carreras del DCIC y para las cuales no es necesario elevar solicitudes.
Las podés encontrar en el link de nuestra bio!",Solicitudes de excepción
¿Cómo me inscribo a una mesa de examen final de una materia para la cual hay una excepción general?,"Si deseás hacer uso de una excepción general para rendir el examen final de alguna materia de tu carrera, deberás gestionar la inscripción a la mesa de examen correspondiente ante la Dirección de Gestión Administrativa Curricular (DGAC) de la UNS. 

Podés gestionar la inscripción en forma presencial en Av. Alem 1015 (planta baja) o a través del Formulario de Consultas y Reclamos de la DGAC.

Encontrá el link al formulario en nuestra bio!",Solicitudes de excepción
¿Qué es estar en situación de cursado paralelo?,"Un cursado paralelo se da cuando un estudiante está inscripto en dos o más carreras de la UNS en forma simultánea. En otras palabras, si estás estudiando más de una carrera a la vez y registraste tu inscripción a dichas carreras, entonces estás en situación de cursado paralelo.",Cursado Paralelo
